,Content ID,Reaction Type,Datetime,scores,content type,,,,
1,97522e57-d9ab-4bd6-97bf-c24d952602d2,disgust,11/7/2020 9:43,0,Studying,,,Top 5 performing categories,
2,97522e57-d9ab-4bd6-97bf-c24d952602d2,dislike,6/17/2021 12:22,10,Studying,,,1. animals,
3,97522e57-d9ab-4bd6-97bf-c24d952602d2,scared,4/18/2021 5:13,15,Studying,,,2.science,
4,97522e57-d9ab-4bd6-97bf-c24d952602d2,disgust,1/6/2021 19:13,0,Studying,,,3.healthy eating,
5,97522e57-d9ab-4bd6-97bf-c24d952602d2,interested,8/23/2020 12:25,30,Studying,,,4. technology,
6,97522e57-d9ab-4bd6-97bf-c24d952602d2,peeking,12/7/2020 6:27,35,Studying,,,5. food,
7,97522e57-d9ab-4bd6-97bf-c24d952602d2,cherish,4/11/2021 17:35,70,Studying,,,,
8,97522e57-d9ab-4bd6-97bf-c24d952602d2,hate,1/27/2021 8:32,5,Studying,,, Total scores for each category,
9,97522e57-d9ab-4bd6-97bf-c24d952602d2,peeking,4/1/2021 22:54,35,Studying,,,animals,74965
10,97522e57-d9ab-4bd6-97bf-c24d952602d2,love,8/4/2020 5:05,65,Studying,,,Studying,54269
11,97522e57-d9ab-4bd6-97bf-c24d952602d2,indifferent,11/7/2020 8:36,20,Studying,,,cooking,64756
12,97522e57-d9ab-4bd6-97bf-c24d952602d2,scared,11/2/2020 6:28,15,Studying,,,culture,66579
13,97522e57-d9ab-4bd6-97bf-c24d952602d2,interested,11/1/2020 1:16,30,Studying,,,dogs,52511
14,97522e57-d9ab-4bd6-97bf-c24d952602d2,hate,10/7/2020 18:39,5,Studying,,,education,57436
15,97522e57-d9ab-4bd6-97bf-c24d952602d2,scared,9/3/2020 18:51,15,Studying,,,fitness,55323
16,97522e57-d9ab-4bd6-97bf-c24d952602d2,super love,2/24/2021 5:09,75,Studying,,,food,66676
17,97522e57-d9ab-4bd6-97bf-c24d952602d2,peeking,9/23/2020 6:24,35,Studying,,,healthy eating,69339
18,97522e57-d9ab-4bd6-97bf-c24d952602d2,indifferent,2/24/2021 11:37,20,Studying,,,public speaking,49264
